"Winner","University","odds","name","Team","Mascot"
"Alabama","Alabama",1.2,"Team1","Alabama_CrimsonTide","CrimsonTide"
"Albany","Albany",0.2,NA,NA,NA
"Arizona","Arizona",1.79310344827586,"Team1","Arizona_Wildcats","Wildcats"
"Arizona State","ArizonaState",1,NA,NA,NA
"Arkansas","Arkansas",1.70588235294118,"Team1","Arkansas_Razorbacks","Razorbacks"
"Arkansas-Little Rock","Arkansas-LittleRock",0.4,NA,NA,NA
"Arkansas-Pine Bluff","Arkansas-PineBluff",1,NA,NA,NA
"Auburn","Auburn",1.71428571428571,"Team1","Auburn_Tigers","Tigers"
"Austin Peay","AustinPeay",0.2,NA,NA,NA
"Ball State","BallState",0.5,NA,NA,NA
"Baylor","Baylor",1.14285714285714,"Team1","Baylor_Bears","Bears"
"Boston College","BostonCollege",1.18181818181818,NA,NA,NA
"Bradley","Bradley",0.75,NA,NA,NA
"Brigham Young","BrighamYoung",0.388888888888889,NA,NA,NA
"Bucknell","Bucknell",0.333333333333333,NA,NA,NA
"Butler","Butler",1.46153846153846,NA,NA,NA
"Cal Poly","CalPoly",1,NA,NA,NA
"California","California",0.642857142857143,NA,NA,NA
"California-Santa Barbara","California-SantaBarbara",0.2,NA,NA,NA
"Central Michigan","CentralMichigan",0.5,NA,NA,NA
"Charleston, South Carolina","Charleston,SouthCarolina",0.25,NA,NA,NA
"Charlotte","Charlotte",0.4,NA,NA,NA
"Chattanooga","Chattanooga",0.25,"Team2","Chattanooga_Mocs","Mocs"
"Cincinnati","Cincinnati",1.2,NA,NA,NA
"Clemson","Clemson",0.6,NA,NA,NA
"Cleveland State","ClevelandState",1.5,NA,NA,NA
"Colorado","Colorado",0.333333333333333,NA,NA,NA
"Colorado State","ColoradoState",0.4,"Team1","ColoradoState_Rams","Rams"
"Connecticut","Connecticut",3.4375,"Team1","Connecticut_Huskies","Huskies"
"Coppin State","CoppinState",0.25,NA,NA,NA
"Cornell","Cornell",0.5,NA,NA,NA
"Creighton","Creighton",0.5,"Team2","Creighton_Bluejays","Bluejays"
"Davidson","Davidson",0.333333333333333,"Team2","Davidson_Wildcats","Wildcats"
"Dayton","Dayton",0.777777777777778,NA,NA,NA
"DePaul","DePaul",0.777777777777778,NA,NA,NA
"Detroit","Detroit",0.666666666666667,NA,NA,NA
"Drexel","Drexel",0.25,NA,NA,NA
"Duke","Duke",3.46153846153846,"Team1","Duke_BlueDevils","BlueDevils"
"East Tennessee State","EastTennesseeState",0.125,NA,NA,NA
"Eastern Michigan","EasternMichigan",0.75,NA,NA,NA
"Evansville","Evansville",0.25,NA,NA,NA
"Florida","Florida",2.47058823529412,NA,NA,NA
"Florida A&M","FloridaA&M",0.333333333333333,NA,NA,NA
"Florida Gulf Coast","FloridaGulfCoast",1.5,NA,NA,NA
"Florida State","FloridaState",1,NA,NA,NA
"Fresno State","FresnoState",0.333333333333333,NA,NA,NA
"George Mason","GeorgeMason",0.833333333333333,NA,NA,NA
"George Washington","GeorgeWashington",0.444444444444444,NA,NA,NA
"Georgetown","Georgetown",1.57142857142857,NA,NA,NA
"Georgia","Georgia",0.363636363636364,NA,NA,NA
"Georgia State","GeorgiaState",0.666666666666667,"Team2","GeorgiaState_Panthers","Panthers"
"Georgia Tech","GeorgiaTech",1.46666666666667,NA,NA,NA
"Gonzaga","Gonzaga",1.26315789473684,"Team1","Gonzaga_Bulldogs","Bulldogs"
"Green Bay","GreenBay",0.2,NA,NA,NA
"Hampton","Hampton",0.333333333333333,NA,NA,NA
"Harvard","Harvard",0.5,NA,NA,NA
"Hawaii","Hawaii",0.25,NA,NA,NA
"Holy Cross","HolyCross",0.166666666666667,NA,NA,NA
"Illinois","Illinois",1.27272727272727,"Team1","Illinois_FightingIllini","FightingIllini"
"Illinois State","IllinoisState",0.5,NA,NA,NA
"Indiana","Indiana",1.45833333333333,"Team2","Indiana_Hoosiers","Hoosiers"
"Indiana State","IndianaState",0.333333333333333,NA,NA,NA
"Iowa","Iowa",0.941176470588235,"Team1","Iowa_Hawkeyes","Hawkeyes"
"Iowa State","IowaState",1,"Team2","IowaState_Cyclones","Cyclones"
"James Madison","JamesMadison",0.5,NA,NA,NA
"Kansas","Kansas",2.6551724137931,"Team1","Kansas_Jayhawks","Jayhawks"
"Kansas State","KansasState",0.833333333333333,NA,NA,NA
"Kent State","KentState",0.8,NA,NA,NA
"Kentucky","Kentucky",3.125,"Team1","Kentucky_Wildcats","Wildcats"
"La Salle","LaSalle",0.8,NA,NA,NA
"Lehigh","Lehigh",0.2,NA,NA,NA
